Название;Цвет;Длина;Ширина;Толщина;Бренд;Коллекция;Текстура
"5134 Urban Safari";Коричневого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"5380 Emperadoro";Коричневого;3050;1440;20;Caesarstone;"Supernatural (Caesarstone)";Мраморная
"2003 Concrete";Серого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"3200 Bondi";Бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"6100 Black Noir";Черного;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"6600 Nougat";Светло-бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"4330 Ginger";Коричневого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"4600 Organic White";Белого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"5130 Cosmopolitan White";Светло-бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"2030 Haze";Светло-бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"2040 Urban";Коричневого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"2230 Linen";Бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"2260 Sandy Beach";Бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"3040 Titan";Серого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"3141 Egg Shell / Osprey";Светло-серого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"3142 White Shimmer";Белого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"3350 Walnut";Коричневого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"6011 Intense White (Maple)";Белого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"6041 Nordic Loft";Светло-бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"6134 Georgian Bluffs";Светло-серого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Мраморная
"6141 Ocean Foam";Светло-бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"6313 Turbine Grey";Бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Мраморная
"7141 White Reflections";Светло-бежевого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"7150 Mosaici Carbone";Черного;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
"9141 Ice Snow";Белого;3050;1440;20;Caesarstone;"Classico (Caesarstone)";Гранитная
